
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
ES,2008,16.24345,11.3,170.743020696995,0.767165748290694,2.45204365410383,,1.8534684190409711,2.5,2.5,1.8365010292825448,11.254
ES,2009,16.9523,12.2,173.382324159591,-3.76813306940053,0.231283091776064,,1.545775312994957,1.0,1.0,1.533949913445909,17.857
ES,2010,17.04772,11.870086,171.30776265034,0.0941223116369514,0.292837731273394,,-1.1965242243156538,1.0,1.0,-1.2037401937234904,19.86
ES,2011,14.76838,12.107853,167.009703468733,-0.639920636520344,-0.145958771821014,,-2.5089693047826933,1.0,1.0,-2.5409805085459425,21.39
ES,2012,13.64231,11.586144,157.416087817723,-2.86511368637748,-0.202954992229195,5.71026349860104,-5.74434625758502,0.75,0.75,-5.915937480217615,24.789
ES,2013,17.31865,13.279287,145.742318057197,-1.42732224757626,0.438175032697188,7.12373619141485,-7.415868303145368,0.25,0.25,-7.705242298529225,26.094
ES,2014,18.74563,13.682656,129.341767497731,1.52048593647231,-0.22068679671149,6.38267849950904,-11.253114934695596,0.05,0.05,-11.938185610423524,24.441
ES,2015,20.02979,14.659533,118.20070057179,4.06086672473866,0.552441816045786,5.09174595659944,-8.613665284987281,0.05,0.05,-9.007422948250277,22.057
ES,2016,20.35452,14.848855,110.603517289466,2.91515598595787,0.372182539615821,4.71813279786195,-6.4273589289851945,0.0,0.0,-6.643214148126209,19.635
ES,2017,19.42108,15.547629,104.413584678605,2.89604207865007,1.25794431812474,4.46120203086986,-5.596506117125566,0.0,0.0,-5.759210205041665,17.224
ES,2018,20.27938,15.579806,97.8516443450171,2.39541124478878,1.18735470237598,3.68642493378735,-6.28456570453565,0.0,0.0,-6.490728997282069,15.255
ES,2019,20.44179,15.909747,93.4379561461582,1.96117850841711,1.42867123652391,3.15282728174409,-4.510591751832593,0.0,0.0,-4.615485304835065,14.104
ES,2020,16.41497,16.982229,105.624708868292,-10.9400706350371,1.13391454164042,2.85122667258747,13.042614826753018,0.0,0.0,12.25946839921308,15.532
