
country,year,bank_z_score,bank_z_score_avail,npl_ratio,npl_ratio_filled,imputed_npl,capital_adequacy_ratio,capital_adequacy_ratio_filled,imputed_tier1,credit_to_gdp_ratio,credit_to_gdp_gap,credit_growth,credit_growth_log,gdp_growth,inflation,unemployment,policy_rate,financial_crisis_dummy,debt_crisis_dummy,covid_dummy
IE,2021,10.9863,1,2.4821487470182,2.4821487470182,0,,25.469175,1,26.4375836236451,4.487573826364997,-18.14929314030965,-20.027324617048148,16.2556135233358,1.09810280913958,6.364,0.0,0,0,0
IE,2022,,0,1.60747302300572,1.60747302300572,0,,25.469175,1,25.4313711947437,11.363219065251082,-3.8059924205836593,-3.8803121530871287,8.61950345618772,6.76287575128831,4.501,2.5,0,0,0
IT,2000,11.04384,1,,6.99617313682385,1,10.1,10.1,0,,2.2451330108729906,,,3.88209885062652,1.75602880174426,10.834,4.75,0,0,0
IT,2001,11.14171,1,,6.99617313682385,1,10.4,10.4,0,59.9103207179669,-0.9552655309650646,2.580927384077003,,2.00643329837733,3.06397974076236,9.599,3.25,0,0,0
IT,2002,13.39386,1,,6.99617313682385,1,11.2,11.2,0,61.6384793639264,-2.4499567569523397,2.884575854792959,2.843755110536339,0.26992966378873,3.30500762478148,9.211,2.75,0,0,0
IT,2003,14.32788,1,,6.99617313682385,1,11.4,11.4,0,64.9071807206875,-2.4394552770458238,5.303020759908783,5.167191991898967,0.0665538088732092,3.16726436365273,8.869,2.0,0,0,0
IT,2004,34.25506,1,,6.99617313682385,1,11.6,11.6,0,67.1749295059094,-3.4536554808158826,3.4938334403717297,3.4341844656093024,1.4740217064723,2.62976042746949,7.866,2.0,0,0,0
IT,2005,15.35978,1,6.99617313682385,6.99617313682385,0,10.6,10.6,0,70.300040738507,-3.5982469038067397,4.652198752694892,4.547227322017911,0.762410677306491,2.08420453015475,7.73,2.25,0,0,0
IT,2006,14.1104,1,6.56811457626493,6.56811457626493,0,10.1,10.1,0,75.1153209362712,-1.969891027878404,6.849612243718983,6.625216679265122,1.79947992234244,2.21589142791035,6.777,3.5,0,0,0
IT,2007,16.24557,1,5.7776082194137,5.7776082194137,0,10.1,10.1,0,81.1708226078018,1.0879791249560071,8.061606601758587,7.753130999969127,1.46229205289291,2.46674492041734,6.076,4.0,0,0,0
IT,2008,14.68172,1,6.28258103994627,6.28258103994627,0,10.4,10.4,0,83.2335798556298,0.4686110368933924,2.541254580842134,2.509501533106029,-1.02313851177097,2.40459496845904,6.723,2.5,1,0,0
IT,2009,15.21512,1,9.4463437392788,9.4463437392788,0,11.7,11.7,0,86.9986796344792,1.9824252510739768,4.523534594306811,4.424207148926129,-5.30515401233991,1.77253535397509,7.749,1.0,1,0,0
IT,2010,16.3626,1,10.0278370674613,10.0278370674613,0,12.065088,12.065088,0,92.501740016207,5.775687317402145,6.325452759569039,6.1334513403240365,1.52910573247101,0.597839702916559,8.363,1.0,1,0,0
IT,2011,12.07697,1,11.7423491843706,11.7423491843706,0,12.684973,12.684973,0,93.434132864862,5.630592325463269,1.007973307844412,1.0029271379305982,0.695463154440176,1.72878370885738,8.359,1.0,0,1,0
IT,2012,13.69699,1,13.7463696406392,13.7463696406392,0,13.415809,13.415809,0,93.1160142531823,4.90036270035796,-0.3404736598131674,-0.3410545903633988,-3.12523877282996,1.70237982317502,10.655,0.75,0,1,0
IT,2013,10.923,1,16.5427056350995,16.5427056350995,0,13.698576,13.698576,0,90.2279318804187,2.242306570444896,-3.1015957844919284,-3.150713559118578,-1.81802510749792,1.12578403623358,12.149,0.25,0,1,0
