
country,year,short_nominal_cs,inflation,real_rate_cs
IT,2014,0.3500000007450581,0.902550708834269,-0.5525507080892109
IT,2015,0.3500000007450581,0.782776477740896,-0.4327764769958379
IT,2016,0.3,1.24817184167345,-0.9481718416734499
IT,2017,0.3,0.709821715080693,-0.40982171508069304
IT,2018,0.3,1.07058151640653,-0.7705815164065299
IT,2019,0.3,1.04700690430435,-0.7470069043043499
IT,2020,0.3,1.57740278796771,-1.27740278796771
IT,2021,0.3,1.28332187292641,-0.9833218729264099
IT,2022,2.8,3.45535917134771,-0.65535917134771
LT,2000,5.15,1.33167340047487,3.8183265995251303
LT,2001,3.65,-0.316237571319192,3.966237571319192
LT,2002,3.15,0.315153589292521,2.834846410707479
LT,2003,2.4,-0.812341044571113,3.212341044571113
LT,2004,2.4,3.12114639733218,-0.7211463973321801
LT,2005,2.65,6.37315052014824,-3.72315052014824
LT,2006,3.9,6.4850685026562,-2.5850685026562004
LT,2007,4.4,8.91210801006264,-4.51210801006264
LT,2008,2.9,9.71607892640327,-6.81607892640327
LT,2009,1.4,-3.08953248731058,4.48953248731058
LT,2010,1.4,2.12172150752954,-0.7217215075295402
LT,2011,1.4,5.62227904002557,-4.222279040025571
LT,2012,1.15,2.50518093222925,-1.35518093222925
LT,2013,0.65,0.833827550890589,-0.183827550890589
LT,2014,0.45000000074505814,0.609190658206288,-0.1591906574612299
LT,2015,0.45000000074505814,-0.0022527821753755,0.45225278292043364
LT,2016,0.4,0.987472424308564,-0.587472424308564
LT,2017,0.4,4.09579153130848,-3.69579153130848
LT,2018,0.4,3.59301167619761,-3.19301167619761
LT,2019,0.4,2.37586014042606,-1.97586014042606
LT,2020,0.4,2.03874418596244,-1.63874418596244
LT,2021,0.4,5.99976656722365,-5.59976656722365
LT,2022,2.9,16.0665428207157,-13.1665428207157
LU,2000,4.85,4.60847350000999,0.24152649999000975
LU,2001,3.35,0.790073815662524,2.559926184337476
LU,2002,2.85,1.4644102115136,1.3855897884864001
LU,2003,2.1,2.18597655053101,-0.08597655053100972
LU,2004,2.1,3.1173285931249,-1.0173285931248999
LU,2005,2.35,4.81732696675937,-2.46732696675937
LU,2006,3.6,6.45467486127431,-2.8546748612743102
LU,2007,4.1,1.89248089465796,2.2075191053420395
LU,2008,2.6,6.60996479623324,-4.009964796233239
LU,2009,1.1,0.870687970906587,0.22931202909341308
LU,2010,1.1,4.64841750360225,-3.54841750360225
LU,2011,1.1,3.44946182436412,-2.34946182436412
LU,2012,0.85,3.26597721899194,-2.41597721899194
LU,2013,0.35,2.27602508879494,-1.92602508879494
LU,2014,0.1500000007450581,2.79670142376848,-2.646701423023422
LU,2015,0.1500000007450581,2.21918090837401,-2.069180907628952
LU,2016,0.1,-1.10761662343417,1.20761662343417
LU,2017,0.1,2.14290452657747,-2.04290452657747
LU,2018,0.1,1.83958806564863,-1.73958806564863
LU,2019,0.1,0.916370421543562,-0.816370421543562
LU,2020,0.1,3.86906326889533,-3.76906326889533
LU,2021,0.1,5.90212972470607,-5.80212972470607
LU,2022,2.6,6.21752167262224,-3.61752167262224
LV,2000,5.05,3.77491627532211,1.2750837246778897
LV,2001,3.55,2.62319690540396,0.9268030945960399
LV,2002,3.05,3.2590042864354,-0.20900428643540003
LV,2003,2.3,3.64549702476506,-1.3454970247650602
LV,2004,2.3,6.92499119111602,-4.62499119111602
LV,2005,2.55,10.4453384763468,-7.8953384763468
LV,2006,3.8,10.2263850696837,-6.4263850696836995
LV,2007,4.3,19.5504855610846,-15.250485561084599
LV,2008,2.8,12.3743988896519,-9.5743988896519
LV,2009,1.3,-5.7316239303985,7.0316239303985
LV,2010,1.3,-0.483861317727076,1.7838613177270761
LV,2011,1.3,4.70810709744489,-3.4081070974448906
LV,2012,1.05,2.87856729481426,-1.82856729481426
LV,2013,0.55,1.90052969117932,-1.3505296911793199
LV,2014,0.3500000007450581,1.66994918996278,-1.319949189217722
LV,2015,0.3500000007450581,0.38688741781985,-0.03688741707479187
LV,2016,0.3,0.607930583315365,-0.307930583315365
LV,2017,0.3,2.70923995206107,-2.4092399520610703
LV,2018,0.3,3.74027873968454,-3.44027873968454
LV,2019,0.3,4.31638188410186,-4.01638188410186
LV,2020,0.3,2.39332693904262,-2.0933269390426203
LV,2021,0.3,3.29734326527044,-2.99734326527044
LV,2022,2.8,9.83538053436664,-7.035380534366641
MT,2000,5.0,-9.89868766410321,14.89868766410321
